7680,0.4520412674264107,
15360,0.293493746494559,
23040,0.2498927226973102,
30720,0.22177406038095715,
38400,0.24450856518350825,
46080,0.20787017678618827,
53760,0.19645414880890338,
61440,0.16806973199192723,
69120,0.16822547711863003,
76800,0.25734555378469537,
7680,0.3226178927151823,
15360,0.26953174826102866,
23040,0.19701753681387071,
30720,0.2468179384741385,
38400,0.22022886619701387,
46080,0.4352962137774674,
53760,0.15316166917055196,
61440,0.16606733981478547,
69120,0.09253925568195043,
76800,0.18271086147476678,
84480,0.10889179436114862,
92160,0.1353085114484477,
99840,0.22293835184253047,
